review_id,product_name,comment,sentiment
REV-9811,Logitech MX Master 3S,ใช้งานแล้วหงุดหงิด ระบบไม่เสถียรเลย,Negative
REV-6780,Dell XPS 13,ตอนแรกไม่แน่ใจ แต่พอใช้แล้วชอบเลย งานดี ใช้งานดี คุ้มราคา,Positive
REV-8986,iPhone 15 Pro,ฟีลลิ่งตอนใช้ดีมาก ชอบจริงๆ ถือว่าคุ้มสำหรับคนใช้งานบ่อย,Positive
REV-9125,Dell XPS 13,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-6129,Logitech MX Master 3S,ประสบการณ์ใช้งานดีเกินคาด ชอบระบบการทำงาน คุ้มราคา,Positive
REV-7699,Logitech MX Master 3S,ใช้งานแล้วรู้สึกชอบมาก คุณภาพดีเกินคาด ถือว่าคุ้มเงินจริงๆ,Positive
REV-1297,Logitech MX Master 3S,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-2359,Samsung S24 Ultra,ใช้มาสักพักแล้ว ชอบมาก ไม่เจอปัญหาอะไร คุณภาพดี คุ้ม,Positive
REV-2012,iPhone 15 Pro,ใช้มาสักพักแล้ว ชอบมาก ไม่เจอปัญหาอะไร คุณภาพดี คุ้ม,Positive
REV-6865,MacBook Air M2,ใช้งานแล้วหงุดหงิด ระบบไม่เสถียรเลย,Negative
REV-5865,iPhone 15 Pro,คุณภาพต่ำกว่าที่โฆษณาไว้มาก ผิดหวังจริงๆ,Negative
REV-3815,Samsung S24 Ultra,ประสบการณ์โดยรวมแย่ ไม่ตรงกับความคาดหวัง,Negative
REV-2907,Logitech MX Master 3S,คุณภาพต่ำกว่าที่โฆษณาไว้มาก ผิดหวังจริงๆ,Negative
REV-6980,Logitech MX Master 3S,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-9173,Logitech MX Master 3S,หลังจากลองใช้แล้วรู้สึกชอบ งานประกอบดี ใช้งานคุ้ม,Positive
REV-4150,Dell XPS 13,ใช้งานได้ไม่นานก็เริ่มมีปัญหา ไม่ประทับใจ,Negative
REV-4310,Logitech MX Master 3S,ใช้มาสักพักแล้ว ชอบมาก ไม่เจอปัญหาอะไร คุณภาพดี คุ้ม,Positive
REV-5313,Sony WH-1000XM5,ใช้มาสักพักแล้ว ชอบมาก ไม่เจอปัญหาอะไร คุณภาพดี คุ้ม,Positive
REV-9395,MacBook Air M2,ฟีลลิ่งตอนใช้ดีมาก ชอบจริงๆ ถือว่าคุ้มสำหรับคนใช้งานบ่อย,Positive
REV-6863,Samsung S24 Ultra,ใช้งานแล้วหงุดหงิด ระบบไม่เสถียรเลย,Negative
REV-8671,Dell XPS 13,โดยรวมประทับใจ ชอบดีไซน์ การใช้งานดี และคุ้มกับเงินที่จ่าย,Positive
REV-8197,Dell XPS 13,ใช้แล้วรู้สึกสบายใจ ชอบที่มันเสถียร ดี และคุ้มจริงๆ,Positive
REV-8830,Logitech MX Master 3S,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-9853,iPhone 15 Pro,ใช้งานแล้วรู้สึกชอบมาก คุณภาพดีเกินคาด ถือว่าคุ้มเงินจริงๆ,Positive
REV-7202,iPhone 15 Pro,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-5600,Samsung S24 Ultra,วัสดุดูไม่แข็งแรง ใช้แล้วไม่มั่นใจ,Negative
REV-1727,iPhone 15 Pro,ตอนแรกไม่แน่ใจ แต่พอใช้แล้วชอบเลย งานดี ใช้งานดี คุ้มราคา,Positive
REV-6486,Logitech MX Master 3S,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-3536,MacBook Air M2,คุณภาพต่ำกว่าที่โฆษณาไว้มาก ผิดหวังจริงๆ,Negative
REV-9124,MacBook Air M2,หลังจากลองใช้แล้วรู้สึกชอบ งานประกอบดี ใช้งานคุ้ม,Positive
REV-1367,Dell XPS 13,รู้สึกว่าไม่คุ้มกับเงินที่จ่ายไป ปัญหาเยอะเกิน,Positive
REV-5539,Sony WH-1000XM5,ใช้แล้วรู้สึกสบายใจ ชอบที่มันเสถียร ดี และคุ้มจริงๆ,Positive
REV-5931,Samsung S24 Ultra,ใช้งานแล้วผิดหวังมาก คุณภาพไม่ตรงกับที่คาดไว้เลย,Negative
REV-9922,Samsung S24 Ultra,ประสบการณ์ใช้งานดีเกินคาด ชอบระบบการทำงาน คุ้มราคา,Positive
REV-5706,iPhone 15 Pro,รู้สึกว่าไม่คุ้มกับเงินที่จ่ายไป ปัญหาเยอะเกิน,Positive
REV-2609,iPhone 15 Pro,ใช้งานแล้วผิดหวังมาก คุณภาพไม่ตรงกับที่คาดไว้เลย,Negative
REV-6788,Sony WH-1000XM5,ประสบการณ์ใช้งานดีเกินคาด ชอบระบบการทำงาน คุ้มราคา,Positive
REV-3183,iPhone 15 Pro,โดยรวมประทับใจ ชอบดีไซน์ การใช้งานดี และคุ้มกับเงินที่จ่าย,Positive
REV-4073,MacBook Air M2,ใช้งานได้ไม่นานก็เริ่มมีปัญหา ไม่ประทับใจ,Negative
REV-6786,Logitech MX Master 3S,คุณภาพต่ำกว่าที่โฆษณาไว้มาก ผิดหวังจริงๆ,Negative
REV-3773,Logitech MX Master 3S,โดยรวมประทับใจ ชอบดีไซน์ การใช้งานดี และคุ้มกับเงินที่จ่าย,Positive
REV-1455,Logitech MX Master 3S,ใช้งานง่ายมาก ชอบตรงนี้ที่สุด คุณภาพดี คุ้มแน่นอน,Positive
REV-9347,iPhone 15 Pro,ใช้งานง่ายมาก ชอบตรงนี้ที่สุด คุณภาพดี คุ้มแน่นอน,Positive
REV-7363,Samsung S24 Ultra,รู้สึกว่าทำออกมาไม่ดี รายละเอียดเล็กๆ น้อยๆ ก็พลาด,Positive
REV-8202,Logitech MX Master 3S,รู้สึกว่าไม่คุ้มกับเงินที่จ่ายไป ปัญหาเยอะเกิน,Positive
REV-8753,MacBook Air M2,โดยรวมประทับใจ ชอบดีไซน์ การใช้งานดี และคุ้มกับเงินที่จ่าย,Positive
REV-7946,Logitech MX Master 3S,ใช้งานแล้วรู้สึกชอบมาก คุณภาพดีเกินคาด ถือว่าคุ้มเงินจริงๆ,Positive
REV-3492,Sony WH-1000XM5,ใช้งานแล้วรู้สึกชอบมาก คุณภาพดีเกินคาด ถือว่าคุ้มเงินจริงๆ,Positive
REV-5953,Samsung S24 Ultra,ใช้งานแล้วผิดหวังมาก คุณภาพไม่ตรงกับที่คาดไว้เลย,Negative
REV-1344,Logitech MX Master 3S,ใช้งานแล้วผิดหวังมาก คุณภาพไม่ตรงกับที่คาดไว้เลย,Negative
